accession	phylum	class	species
RS_GCF_007671725	Halobacteriota	Halobacteria	Halorubrum depositum
RS_GCF_000337015	Halobacteriota	Halobacteria	Halorubrum distributum
RS_GCF_039522565	Halobacteriota	Halobacteria	Halorubrum ejinorense
RS_GCF_028329985	Halobacteriota	Halobacteria	Halorubrum ezzemoulense
RS_GCF_002252985	Halobacteriota	Halobacteria	Halorubrum halodurans
RS_GCF_000739595	Halobacteriota	Halobacteria	Halorubrum halophilum
RS_GCF_023702125	Halobacteriota	Halobacteria	Halorubrum hochsteinianum
RS_GCF_000337355	Halobacteriota	Halobacteria	Halorubrum kocurii
RS_GCF_021965275	Halobacteriota	Halobacteria	Halorubrum lacusprofundi
RS_GCF_000337375	Halobacteriota	Halobacteria	Halorubrum lipolyticum
RS_GCF_002727125	Halobacteriota	Halobacteria	Halorubrum persicum
RS_GCF_000296615	Halobacteriota	Halobacteria	Halorubrum ruber
RS_GCF_024494685	Halobacteriota	Halobacteria	Halorubrum rubrum
RS_GCF_000337915	Halobacteriota	Halobacteria	Halorubrum saccharovorum
RS_GCF_013267195	Halobacteriota	Halobacteria	Halorubrum salinarum
RS_GCF_024494575	Halobacteriota	Halobacteria	Halorubrum salinum
RS_GCF_002286985	Halobacteriota	Halobacteria	Halorubrum salipaludis
RS_GCF_007671685	Halobacteriota	Halobacteria	Halorubrum salsamenti
RS_GCF_005435015	Halobacteriota	Halobacteria	Halorubrum sodomense
RS_GCF_000746205	Halobacteriota	Halobacteria	Halorubrum sp000746205
RS_GCF_001261915	Halobacteriota	Halobacteria	Halorubrum sp001261915
RS_GCF_002252755	Halobacteriota	Halobacteria	Halorubrum sp002252755
RS_GCF_003287355	Halobacteriota	Halobacteria	Halorubrum sp003287355
RS_GCF_003666015	Halobacteriota	Halobacteria	Halorubrum sp003666015
RS_GCF_003697845	Halobacteriota	Halobacteria	Halorubrum sp003697845
RS_GCF_003721435	Halobacteriota	Halobacteria	Halorubrum sp003721435
RS_GCF_003781945	Halobacteriota	Halobacteria	Halorubrum sp003781945
RS_GCF_003990725	Halobacteriota	Halobacteria	Halorubrum sp003990725
RS_GCF_004114375	Halobacteriota	Halobacteria	Halorubrum sp004114375
RS_GCF_005435165	Halobacteriota	Halobacteria	Halorubrum sp005435165
RS_GCF_009806985	Halobacteriota	Halobacteria	Halorubrum sp009806985
RS_GCF_018623055	Halobacteriota	Halobacteria	Halorubrum sp018623055
RS_GCF_027257195	Halobacteriota	Halobacteria	Halorubrum sp027257195
GB_GCA_028275105	Halobacteriota	Halobacteria	Halorubrum sp028275105
RS_GCF_029889805	Halobacteriota	Halobacteria	Halorubrum sp029889805
RS_GCF_901686465	Halobacteriota	Halobacteria	Halorubrum sp901686465
RS_GCF_041379825	Halobacteriota	Halobacteria	Halorubrum sp937146585
RS_GCF_000337415	Halobacteriota	Halobacteria	Halorubrum tebenquichense
RS_GCF_017873555	Halobacteriota	Halobacteria	Halorubrum trapanicum
RS_GCF_002355655	Halobacteriota	Halobacteria	Halorubrum trapanicum_A
RS_GCF_003665955	Halobacteriota	Halobacteria	Halorubrum tropicale
RS_GCF_900188065	Halobacteriota	Halobacteria	Halorubrum vacuolatum
RS_GCF_900102375	Halobacteriota	Halobacteria	Halorubrum xinjiangense
RS_GCF_026586675	Halobacteriota	Halobacteria	Halorubrum yunnanense
RS_GCF_004143485	Halobacteriota	Halobacteria	Halorussus amylolyticus
RS_GCF_029338395	Halobacteriota	Halobacteria	Halorussus caseinilyticus
RS_GCF_023238445	Halobacteriota	Halobacteria	Halorussus gelatinilyticus
RS_GCF_008831545	Halobacteriota	Halobacteria	Halorussus halophilus
RS_GCF_023238205	Halobacteriota	Halobacteria	Halorussus limi
RS_GCF_029338375	Halobacteriota	Halobacteria	Halorussus lipolyticus
RS_GCF_003382685	Halobacteriota	Halobacteria	Halorussus litoreus
RS_GCF_004765795	Halobacteriota	Halobacteria	Halorussus marinus
RS_GCF_004087835	Halobacteriota	Halobacteria	Halorussus pelagicus
RS_GCF_003369835	Halobacteriota	Halobacteria	Halorussus rarus
RS_GCF_004765785	Halobacteriota	Halobacteria	Halorussus ruber
RS_GCF_024138125	Halobacteriota	Halobacteria	Halorussus salilacus
RS_GCF_004765815	Halobacteriota	Halobacteria	Halorussus salinus
RS_GCF_010747475	Halobacteriota	Halobacteria	Halorussus sp010747475
RS_GCF_024138165	Halobacteriota	Halobacteria	Halorussus vallis
RS_GCF_026242195	Halobacteriota	Halobacteria	Halorutilus salinus
GB_GCA_034522195	Halobacteriota	Halobacteria	Halorutilus sp034522195
RS_GCF_009663395	Halobacteriota	Halobacteria	Halosegnis longus
RS_GCF_029338355	Halobacteriota	Halobacteria	Halosegnis marinus
RS_GCF_009184545	Halobacteriota	Halobacteria	Halosegnis rubeus
GB_GCA_003021175	Halobacteriota	Halobacteria	Halosegnis sp003021175
GB_GCA_003021785	Halobacteriota	Halobacteria	Halosegnis sp003021785
RS_GCF_004698125	Halobacteriota	Halobacteria	Halosimplex halophilum
RS_GCF_016065055	Halobacteriota	Halobacteria	Halosimplex litoreum
RS_GCF_013415885	Halobacteriota	Halobacteria	Halosimplex rubrum
RS_GCF_003730195	Halobacteriota	Halobacteria	Halosimplex salinum
RS_GCF_023566055	Halobacteriota	Halobacteria	Halosolutus amylolyticus
RS_GCF_023028105	Halobacteriota	Halobacteria	Halosolutus gelatinilyticus
RS_GCF_022869805	Halobacteriota	Halobacteria	Halosolutus halophilus
RS_GCF_900116205	Halobacteriota	Halobacteria	Halostagnicola kamekurae
RS_GCF_000517625	Halobacteriota	Halobacteria	Halostagnicola larsenii
GB_GCA_025517425	Halobacteriota	Halobacteria	Halostagnicola sp025517425
RS_GCF_030068615	Halobacteriota	Halobacteria	Halostagnicola sp030068615
RS_GCF_011440285	Halobacteriota	Halobacteria	Halostella limicola
RS_GCF_004785955	Halobacteriota	Halobacteria	Halostella litorea
GB_GCA_005954745	Halobacteriota	Halobacteria	Halostella pelagica
RS_GCF_003675855	Halobacteriota	Halobacteria	Halostella salina
RS_GCF_017352155	Halobacteriota	Halobacteria	Haloterrigena alkaliphila
RS_GCF_013342135	Halobacteriota	Halobacteria	Haloterrigena gelatinilytica
RS_GCF_016906025	Halobacteriota	Halobacteria	Haloterrigena salifodinae
RS_GCF_000337495	Halobacteriota	Halobacteria	Haloterrigena salina
RS_GCF_037914945	Halobacteriota	Halobacteria	Haloterrigena sp037914945
RS_GCF_000025325	Halobacteriota	Halobacteria	Haloterrigena turkmenica
RS_GCF_900100385	Halobacteriota	Halobacteria	Halovenus aranensis
RS_GCF_009831575	Halobacteriota	Halobacteria	Halovenus carboxidivorans
RS_GCF_026586665	Halobacteriota	Halobacteria	Halovenus rubra
GB_GCA_004015825	Halobacteriota	Halobacteria	Halovenus sp004015825
RS_GCF_037080055	Halobacteriota	Halobacteria	Halovenus sp037080055
RS_GCF_000337515	Halobacteriota	Halobacteria	Halovivax asiaticus
RS_GCF_024498195	Halobacteriota	Halobacteria	Halovivax cerinus
RS_GCF_024300625	Halobacteriota	Halobacteria	Halovivax gelatinilyticus
RS_GCF_023093535	Halobacteriota	Halobacteria	Halovivax limisalsi
RS_GCF_000328525	Halobacteriota	Halobacteria	Halovivax ruber
GB_GCA_021498095	Asgardarchaeota	Lokiarchaeia	Harpocratesius repetitus
GB_GCA_002011035	Thermoproteota	Bathyarchaeia	Hecatella orcuttiae
GB_GCA_021513695	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeum aukensis
GB_GCA_021513715	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeum endolithica
GB_GCA_005191425	Asgardarchaeota	Lokiarchaeia	HEL-GB-B sp005191425
GB_GCA_024256165	Thermoproteota	Nitrososphaeria	HK02M2 sp024256165
GB_GCA_024256185	Thermoproteota	Nitrososphaeria	HK02M2 sp024256245
GB_GCA_024256285	Thermoproteota	Nitrososphaeria	HK02M2 sp024256285
GB_GCA_003144275	Asgardarchaeota	Heimdallarchaeia	Hodarchaeum sp003144275
GB_GCA_016839295	Asgardarchaeota	Heimdallarchaeia	Hodarchaeum sp011364965
GB_GCA_019057635	Asgardarchaeota	Heimdallarchaeia	Hodarchaeum sp019057635
GB_GCA_002898355	Thermoproteota	Nitrososphaeria_A	HRBIN01 sp002898355
GB_GCA_002898395	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp002898395
GB_GCA_009889515	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp009889515
GB_GCA_025059595	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp025059595
GB_GCA_038829665	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp030550155
GB_GCA_038896855	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp030550235
GB_GCA_032249095	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp032249095
GB_GCA_937921685	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp937921685
GB_GCA_019704295	Thermoproteota	Thermoprotei_A	HS-7 sp019704295
GB_GCA_002011125	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeum profundi
RS_GCF_000015145	Thermoproteota	Thermoprotei_A	Hyperthermus butylicus
GB_GCA_013329705	Thermoproteota	Thermoprotei_A	Ignicoccus hospitalis
RS_GCF_001481685	Thermoproteota	Thermoprotei_A	Ignicoccus islandicus
GB_GCA_025340205	Thermoproteota	Thermoprotei_A	Ignicoccus pacificus
GB_GCA_027081755	Thermoproteota	Thermoprotei_A	Ignicoccus sp027081755
GB_GCA_000145985	Thermoproteota	Thermoprotei_A	Ignisphaera aggregans
RS_GCF_030186535	Thermoproteota	Thermoprotei_A	Ignisphaera cupida
GB_GCA_020832925	Thermoproteota	Thermoprotei_A	Ignisphaera sp020832925
GB_GCA_020833345	Thermoproteota	Thermoprotei_A	Ignisphaera sp020833345
GB_GCA_033581155	Thermoproteota	Thermoprotei_A	Ignisphaera sp025058535
GB_GCA_028275825	Thermoproteota	Thermoprotei_A	Ignisphaera sp028275825
GB_GCA_030550585	Thermoproteota	Thermoprotei_A	Ignisphaera sp030550585
GB_GCA_038735125	Thermoproteota	Thermoprotei_A	Ignisphaera sp038735125
GB_GCA_038841775	Thermoproteota	Thermoprotei_A	Ignisphaera sp038820005
GB_GCA_038833555	Thermoproteota	Thermoprotei_A	Ignisphaera sp038821645
GB_GCA_038831005	Thermoproteota	Thermoprotei_A	Ignisphaera sp038831005
GB_GCA_038889075	Thermoproteota	Thermoprotei_A	Ignisphaera sp038889075
GB_GCA_938074605	Thermoproteota	Thermoprotei_A	Ignisphaera sp938074605
RS_GCF_019693215	Halobacteriota	Halobacteria	IM2453 sp019693215
GB_GCA_020718025	Altiarchaeota	Altiarchaeia	IMC4 sp001742785
RS_GCF_014876775	Thermoproteota	Thermoprotei	Infirmifilum lucidum
RS_GCF_022693705	Thermoproteota	Thermoprotei	Infirmifilum sp002855745
RS_GCF_000993805	Thermoproteota	Thermoprotei	Infirmifilum uzonense
GB_GCA_003695745	Hydrothermarchaeota	Hydrothermarchaeia	J060 sp003695745
GB_GCA_003695265	Nanobdellota	Nanobdellia	J072 sp003695265
GB_GCA_038896535	Micrarchaeota	Micrarchaeia	J096 sp038896535
GB_GCA_003695435	Nanobdellota	Nanobdellia	J101 sp003695435
GB_GCA_003694495	Nanobdellota	Nanobdellia	J104 sp003694495
GB_GCA_003694805	Nanobdellota	Nanobdellia	J110 sp003694805
GB_GCA_015520735	Thermoproteota	Thermoprotei_A	JAADCY01 sp015520735
GB_GCA_027022365	Thermoproteota	Thermoprotei_A	JAADCY01 sp027022365
GB_GCA_027083045	Thermoproteota	Thermoprotei_A	JAADCY01 sp027083045
GB_GCA_013154005	Thermoplasmatota	Thermoplasmata	JAADDK01 sp013154005
GB_GCA_015521465	Thermoplasmatota	Thermoplasmata	JAADDK01 sp015521465
GB_GCA_027074975	Thermoplasmatota	Thermoplasmata	JAADDK01 sp015523125
GB_GCA_027023265	Thermoplasmatota	Thermoplasmata	JAADDK01 sp027023265
GB_GCA_027037275	Thermoproteota	Thermoprotei	JAADER01 sp027036495
GB_GCA_027021165	Hydrothermarchaeota	Hydrothermarchaeia	JAADFH01 sp015521945
GB_GCA_026989875	Hydrothermarchaeota	Hydrothermarchaeia	JAADFH01 sp026989875
GB_GCA_013152815	Nanobdellota	Nanobdellia	JAADFO01 sp013152815
GB_GCA_016932735	Aenigmatarchaeota	Aenigmatarchaeia	JAADIF01 sp016932735
GB_GCA_013415715	Thermoplasmatota	Thermoplasmata	JAAEEP01 sp013415695
GB_GCA_035529155	Thermoplasmatota	Thermoplasmata	JAAEEP01 sp035529155
GB_GCA_018263355	Nanobdellota	Nanobdellia	JAANXH01 sp018263355
GB_GCA_018220955	SpSt-1190	SpSt-1190	JAAOXV01 sp018220955
GB_GCA_018221105	Nanobdellota	Nanobdellia	JAAOYA01 sp018221105
GB_GCA_018221135	Nanobdellota	Nanobdellia	JAAOYB01 sp018221135
GB_GCA_019322435	Nanobdellota	Nanobdellia	JAAOYC01 sp019322435
GB_GCA_018221175	Nanobdellota	Nanobdellia	JAAOYE01 sp018221175
GB_GCA_018221205	Nanobdellota	Nanobdellia	JAAOYF01 sp018221205
GB_GCA_011605775	Thermoproteota	Nitrososphaeria	JAAOZN01 sp011605775
GB_GCA_038885455	Thermoproteota	Nitrososphaeria	JAAOZN01 sp029775855
GB_GCA_038730885	Thermoproteota	EX4484-205	JAAOZO01 sp017601145
GB_GCA_038862705	Thermoproteota	EX4484-205	JAAOZP01 sp011363915
GB_GCA_011605725	Thermoproteota	EX4484-205	JAAOZP01 sp011605725
GB_GCA_038884355	Thermoproteota	EX4484-205	JAAOZP01 sp017601225
GB_GCA_017601395	Thermoproteota	EX4484-205	JAAOZP01 sp017601395
GB_GCA_038850895	Thermoproteota	EX4484-205	JAAOZP01 sp038848185
GB_GCA_038845195	Thermoproteota	EX4484-205	JAAOZP01 sp038861395
GB_GCA_938045545	Thermoproteota	EX4484-205	JAAOZP01 sp938045545
GB_GCA_038874655	Nanobdellota	Nanobdellia	JAAXVZ01 sp038874655
GB_GCA_012520845	Thermoplasmatota	Thermoplasmata	JAAYNL01 sp012520845
GB_GCA_034007125	Thermoplasmatota	Thermoplasmata	JAAYZC01 sp012515075
GB_GCA_018650895	Nanobdellota	Nanobdellia	JAAZWY01 sp014240455
GB_GCA_014238095	Aenigmatarchaeota	Aenigmatarchaeia	JABABT01 sp014238095
GB_GCA_029907685	Thermoproteota	Bathyarchaeia	JABFQN01 sp019685555
GB_GCA_029907645	Thermoproteota	Bathyarchaeia	JABFQO01 sp019685575
GB_GCA_018646625	Nanobdellota	Nanobdellia	JABGUJ01 sp018646625
GB_GCA_963980945	Nanobdellota	Nanobdellia	JABGXB01 sp018675975
GB_GCA_018657865	Nanobdellota	Nanobdellia	JABHHN01 sp018671515
GB_GCA_018693515	Nanobdellota	Nanobdellia	JABHIB01 sp018671245
GB_GCA_018647545	Nanobdellota	Nanobdellia	JABHQR01 sp018696395
GB_GCA_018657475	Nanobdellota	Nanobdellia	JABHXC01 sp018657475
GB_GCA_018657385	Nanobdellota	Nanobdellia	JABHXF01 sp018657385
GB_GCA_018702475	Nanobdellota	Nanobdellia	JABHXF01 sp018661705
GB_GCA_018651505	Nanobdellota	Nanobdellia	JABHYY01 sp018653605
GB_GCA_018649855	Nanobdellota	Nanobdellia	JABHZQ01 sp018656555
GB_GCA_018675265	Nanobdellota	Nanobdellia	JABIAG01 sp018653365
GB_GCA_018652475	Nanobdellota	Nanobdellia	JABICB01 sp018652475
GB_GCA_018664565	Iainarchaeota	Iainarchaeia	JABIDZ01 sp018691995
GB_GCA_028691435	Iainarchaeota	Iainarchaeia	JABIDZ01 sp028691435
GB_GCA_016845225	Nanobdellota	Nanobdellia	JABIKK01 sp016845225
GB_GCA_018655015	Nanobdellota	Nanobdellia	JABIKK01 sp018655015
GB_GCA_018661155	Nanobdellota	Nanobdellia	JABIKK01 sp018658265
GB_GCA_018694635	Nanobdellota	Nanobdellia	JABIKK01 sp018658955
GB_GCA_018671815	Nanobdellota	Nanobdellia	JABJCP01 sp018668595
GB_GCA_963980115	Nanobdellota	Nanobdellia	JABJCP01 sp018675335
GB_GCA_018652365	Nanobdellota	Nanobdellia	JABJOX01 sp018696595
GB_GCA_018669415	Nanobdellota	Nanobdellia	JABJPM01 sp018663865
GB_GCA_030614005	Asgardarchaeota	Heimdallarchaeia	JABLTI01 sp030614005
GB_GCA_013178225	Halobacteriota	Methanosarcinia	JABLXE01 sp013178225
GB_GCA_016929255	Nanobdellota	Nanobdellia	JABMQF01 sp016929255
GB_GCA_018830225	Nanobdellota	Nanobdellia	JABMQF01 sp018830225
GB_GCA_013388895	Thermoproteota	Bathyarchaeia	JACAEI01 sp013388895
GB_GCA_013388905	Thermoproteota	Bathyarchaeia	JACAEI01 sp013388905
GB_GCA_013388925	Thermoproteota	Nitrososphaeria	JACAEJ01 sp013388925
GB_GCA_029775875	Thermoproteota	Nitrososphaeria	JACAEJ01 sp029775875
GB_GCA_038874295	Thermoproteota	Nitrososphaeria	JACAEJ01 sp029775925
GB_GCA_038871895	Thermoproteota	Nitrososphaeria	JACAEJ01 sp038883135
GB_GCA_938091495	Thermoproteota	Nitrososphaeria	JACAEJ01 sp938091495
GB_GCA_013388835	Asgardarchaeota	Thorarchaeia	JACAEL01 sp013388835
GB_GCA_011049045	Halobacteriota	Syntropharchaeia	JACGMN01 sp011049045
GB_GCA_016930255	Halobacteriota	Syntropharchaeia	JACGMN01 sp016930255
GB_GCA_030611045	Halobacteriota	Syntropharchaeia	JACGMN01 sp030611045
GB_GCA_034660575	Halobacteriota	Syntropharchaeia	JACGMN01 sp030665925
GB_GCA_014361295	Thermoplasmatota	Thermoplasmata	JACIVX01 sp014361295
GB_GCA_029907465	Thermoplasmatota	Thermoplasmata	JACIVX01 sp029907465
GB_GCA_038850735	Thermoplasmatota	Thermoplasmata	JACIVX01 sp038850735
GB_GCA_014361195	Thermoplasmatota	E2	JACIWB01 sp014361195
GB_GCA_014361245	Thermoplasmatota	E2	JACIWB01 sp014361245
GB_GCA_038818725	Thermoplasmatota	E2	JACIWB01 sp038818725
GB_GCA_014361085	Thermoproteota	Nitrososphaeria	JACIWG01 sp014361085
GB_GCA_038874315	Thermoproteota	Nitrososphaeria	JACIWG01 sp029776065
GB_GCA_038859975	Thermoproteota	Nitrososphaeria	JACIWG01 sp029776125
GB_GCA_938034445	Thermoproteota	Nitrososphaeria	JACIWG01 sp938034445
GB_GCA_020637495	Nanobdellota	Nanobdellia	JACJVV01 sp020637495
GB_GCA_016187415	Aenigmatarchaeota	Aenigmatarchaeia	JACOWB01 sp016187415
GB_GCA_038999305	Aenigmatarchaeota	Aenigmatarchaeia	JACOWB01 sp018920185
GB_GCA_018302605	Nanobdellota	Nanobdellia	JACOZP01 sp018302605
GB_GCA_016181275	Nanobdellota	Nanobdellia	JACOZQ01 sp016181275
GB_GCA_016181005	Aenigmatarchaeota	Aenigmatarchaeia	JACPAE01 sp016181005
GB_GCA_016187385	Aenigmatarchaeota	Aenigmatarchaeia	JACPAE01 sp016187385
GB_GCA_016180285	Nanobdellota	Nanobdellia	JACPBO01 sp016180285
GB_GCA_030651135	Nanobdellota	Nanobdellia	JACPBO01 sp030651135
GB_GCA_016180195	Nanobdellota	Nanobdellia	JACPBS01 sp016180195
GB_GCA_016180035	Nanobdellota	Nanobdellia	JACPCA01 sp016180035
GB_GCA_018302765	Nanobdellota	Nanobdellia	JACPCE01 sp018302765
GB_GCA_016184145	Nanobdellota	Nanobdellia	JACPDF01 sp016184145
GB_GCA_016184005	Aenigmatarchaeota	Aenigmatarchaeia	JACPDL01 sp016184005
GB_GCA_016207165	Micrarchaeota	Micrarchaeia	JACPGT01 sp016207165
GB_GCA_016188265	Nanobdellota	Nanobdellia	JACPID01 sp016188265
GB_GCA_016188215	Nanobdellota	Nanobdellia	JACPIF01 sp016188215
GB_GCA_016188115	Nanobdellota	Nanobdellia	JACPIK01 sp016188115
GB_GCA_023265685	Nanobdellota	Nanobdellia	JACPIK01 sp023265685
GB_GCA_030647325	Nanobdellota	Nanobdellia	JACPIL01 sp030647325
GB_GCA_030697505	Nanobdellota	Nanobdellia	JACPIL01 sp030697505
GB_GCA_035291085	Nanobdellota	Nanobdellia	JACPIL01 sp035291085
GB_GCA_016188045	Nanobdellota	Nanobdellia	JACPIM01 sp016188045
GB_GCA_016188065	Nanobdellota	Nanobdellia	JACPIN01 sp016188065
GB_GCA_018302705	Nanobdellota	Nanobdellia	JACPIN01 sp018302705
GB_GCA_016187745	Iainarchaeota	Iainarchaeia	JACPJC01 sp016187745
GB_GCA_019323655	Nanobdellota	Nanobdellia	JACPJP01 sp019323655
GB_GCA_030742015	Nanobdellota	Nanobdellia	JACPJP01 sp030751755
GB_GCA_016187565	Nanobdellota	Nanobdellia	JACPJR01 sp016187565
GB_GCA_016187335	Aenigmatarchaeota	Aenigmatarchaeia	JACPJW01 sp016187335
GB_GCA_016185725	Nanobdellota	Nanobdellia	JACPNA01 sp016185725
GB_GCA_023259115	Nanobdellota	Nanobdellia	JACPNA01 sp023259115
GB_GCA_016185625	Nanobdellota	Nanobdellia	JACPND01 sp016185625
GB_GCA_016185635	Nanobdellota	Nanobdellia	JACPNF01 sp016185635
GB_GCA_016185605	Nanobdellota	Nanobdellia	JACPNG01 sp016185605
GB_GCA_038046405	Nanobdellota	Nanobdellia	JACPNH01 sp038046405
GB_GCA_016185435	Aenigmatarchaeota	Aenigmatarchaeia	JACPNN01 sp016185435
GB_GCA_023379805	Thermoproteota	Nitrososphaeria	JACPRH01 sp023379805
GB_GCA_016193585	Aenigmatarchaeota	Aenigmatarchaeia	JACPRW01 sp016193585
GB_GCA_016192995	Nanobdellota	Nanobdellia	JACPTB01 sp016192995
GB_GCA_016192945	Nanobdellota	Nanobdellia	JACPTE01 sp016192945
GB_GCA_016192905	Nanobdellota	Nanobdellia	JACPTG01 sp016192905
GB_GCA_016202815	Aenigmatarchaeota	Aenigmatarchaeia	JACPZZ01 sp016202815
GB_GCA_016198705	Aenigmatarchaeota	Aenigmatarchaeia	JACQIA01 sp016198705
GB_GCA_016198725	Nanobdellota	Nanobdellia	JACQIC01 sp016198725
GB_GCA_016198685	Aenigmatarchaeota	Aenigmatarchaeia	JACQID01 sp016198685
GB_GCA_016432325	Aenigmatarchaeota	Aenigmatarchaeia	JACQIF01 sp016432325
GB_GCA_016205145	Iainarchaeota	Iainarchaeia	JACQJH01 sp016205145
GB_GCA_016203445	Nanobdellota	Nanobdellia	JACQMS01 sp016203445
GB_GCA_035289865	Nanobdellota	Nanobdellia	JACQNA01 sp035289865
GB_GCA_023246445	Nanobdellota	Nanobdellia	JACQNH01 sp023246445
GB_GCA_016203135	Nanobdellota	Nanobdellia	JACQNI01 sp016203135
GB_GCA_038046745	Hydrothermarchaeota	Hydrothermarchaeia	JACQPM01 sp038046745
GB_GCA_016207515	Thermoplasmatota	SW-10-69-26	JACQPN01 sp016207515
GB_GCA_016184315	Thermoproteota	Nitrososphaeria	JACQRY01 sp016184315
GB_GCA_018303325	Nanobdellota	Nanobdellia	JACQSP01 sp018303325
GB_GCA_035289105	Nanobdellota	Nanobdellia	JACQSR01 sp035289105
GB_GCA_016211195	Nanobdellota	Nanobdellia	JACQSS01 sp016211195
GB_GCA_023264635	Nanobdellota	Nanobdellia	JACQSS01 sp023264635
GB_GCA_016211185	Nanobdellota	Nanobdellia	JACQST01 sp016211185
GB_GCA_024860865	JACRDV01	JACRDV01	JACRDV01 sp024860865
GB_GCA_016212785	Hydrothermarchaeota	Hydrothermarchaeia	JACRDW01 sp016212785
GB_GCA_016212475	Micrarchaeota	Micrarchaeia	JACRGC01 sp016212475
GB_GCA_035288785	Micrarchaeota	Micrarchaeia	JACRGC01 sp035288785
GB_GCA_038046605	Micrarchaeota	Micrarchaeia	JACRGC01 sp038046605
GB_GCA_041305345	Micrarchaeota	Micrarchaeia	JACRGC01 sp041305345
GB_GCA_016212465	Micrarchaeota	Micrarchaeia	JACRGE01 sp016212465
GB_GCA_016219865	Nanobdellota	Nanobdellia	JACRKF01 sp016219865
GB_GCA_018303075	Nanobdellota	Nanobdellia	JACRKF01 sp018303075
GB_GCA_016215315	Nanobdellota	Nanobdellia	JACRKG01 sp016215315
GB_GCA_016219835	Nanobdellota	Nanobdellia	JACRKL01 sp016219835
GB_GCA_016214785	Thermoplasmatota	Thermoplasmata	JACRNV01 sp016214785
GB_GCA_016214025	Nanobdellota	Nanobdellia	JACRPH01 sp016214025
GB_GCA_038046445	Nanobdellota	Nanobdellia	JACRPH01 sp038046445
GB_GCA_041665465	Nanobdellota	Nanobdellia	JACRPH01 sp041665465
GB_GCA_016214075	Nanobdellota	Nanobdellia	JACRPI01 sp016214075
GB_GCA_041671005	Nanobdellota	Nanobdellia	JACRPI01 sp041671005
GB_GCA_015660865	Halobacteriota	Methanomicrobia	JACTUA01 sp015660865
GB_GCA_035310965	Halobacteriota	Methanomicrobia	JACTUA01 sp035310965
GB_GCA_035506435	Halobacteriota	Methanomicrobia	JACTUA01 sp035506435
GB_GCA_015660995	Thermoproteota	Methanomethylicia	JACTUC01 sp015660995
GB_GCA_014874365	Thermoplasmatota	Thermoplasmata	JACWAH01 sp014874365
GB_GCA_027346295	Thermoplasmatota	Thermoplasmata	JACWAH01 sp021795055
GB_GCA_027331235	Thermoplasmatota	Thermoplasmata	JACWAH01 sp021818715
GB_GCA_023484105	Thermoplasmatota	Thermoplasmata	JACWAH01 sp023484105
GB_GCA_017883615	Thermoproteota	Bathyarchaeia	JADGNF01 sp017883615
GB_GCA_026014465	Thermoproteota	Bathyarchaeia	JADGNF01 sp026014465
GB_GCA_026014485	Thermoproteota	Bathyarchaeia	JADGNF01 sp026014485
GB_GCA_026414485	Thermoproteota	Bathyarchaeia	JADGNF01 sp026414485
GB_GCA_041447175	Thermoproteota	Bathyarchaeia	JADGNF01 sp041447175
GB_GCA_937873375	Thermoproteota	Bathyarchaeia	JADGNF01 sp937873375
GB_GCA_016838825	Thermoproteota	Nitrososphaeria	JAEHKU01 sp016838825
GB_GCA_019246625	Thermoproteota	Nitrososphaeria	JAFAQB01 sp019246625
GB_GCA_035252175	Thermoproteota	Nitrososphaeria	JAFAQB01 sp035252175
GB_GCA_036518375	Thermoproteota	Nitrososphaeria	JAFAQB01 sp036518375
GB_GCA_036522495	Thermoproteota	Nitrososphaeria	JAFAQB01 sp036522495
GB_GCA_041156085	Thermoproteota	Nitrososphaeria	JAFAQB01 sp041156085
GB_GCA_017610385	Nanohalarchaeota	Nanosalinia	JAFCCC01 sp017610385
GB_GCA_017610205	Iainarchaeota	Iainarchaeia	JAFCCL01 sp017610205
GB_GCA_041645325	Iainarchaeota	Iainarchaeia	JAFCCL01 sp041645325
GB_GCA_017610175	Iainarchaeota	Iainarchaeia	JAFCCO01 sp017610175
GB_GCA_017609645	Nanobdellota	Nanobdellia	JAFCDQ01 sp017609645
GB_GCA_017609535	Nanobdellota	Nanobdellia	JAFCDU01 sp017609535
GB_GCA_023144035	Nanobdellota	Nanobdellia	JAFCEV01 sp023144035
GB_GCA_021157705	Aenigmatarchaeota	Aenigmatarchaeia	JAFCEW01 sp017608955
GB_GCA_017609345	Nanobdellota	Nanobdellia	JAFCEY01 sp017608945
GB_GCA_017608625	Nanobdellota	Nanobdellia	JAFCFN01 sp017608625
GB_GCA_017609245	Nanobdellota	Nanobdellia	JAFCFN01 sp017609245
GB_GCA_017608865	Iainarchaeota	Iainarchaeia	JAFCFP01 sp017608575
GB_GCA_017608525	Nanobdellota	Nanobdellia	JAFCFS01 sp017608525
GB_GCA_017608385	Nanobdellota	Nanobdellia	JAFCFZ01 sp017608385
