accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count	phylum	class	species
GB_GCA_027378375.1	0	91.9	1.09	General	83.04	1.6	188	p__Euryarchaeota (UID3)	125	0	1477713	89.03800395627252	186	1137785	68.5608420717723	1659643	GB_GCA_021798195.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__JAJZYH01;s__JAJZYH01 sp021798195	not type material	none	f	25	25	67108	67108	3161	1	304	DAIFBY010000097.1	16790	1	117	DAIFBY010000035.1	211	183	7.7e-45	82.464	MTMG01000016.59943.62874	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Syntrophoarchaeaceae;Incertae Sedis;Methanomicrobia archaeon JdFR-19	8922	9069	f	f	t	22443	22443	Scaffold	ASM2737837v1	na	PRJNA834572	SAMN28407340	186	22443	China: Guangdong; Yunfu	2022-12-27	GCA_027378375.1	derived from metagenome	full	clean3139	sediment	22.96400 N 112.01499 E	0	none	Thermoplasmata archaeon	none	na	none	183	25	22443	12413	5318	2022/12/27	3	1906666	none	clean3139	an eLibrary of Microbial Systematics and Genomics	1906666	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__Thermoplasmata archaeon	117	1659643	none	none	na	1659526	0	DAIFBY000000000.1	1693	183	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	117	13	38	0	Thermoplasmatota	Thermoplasmata	JAJZYH01 sp021798195
GB_GCA_001421185.1	0	93.68	3.5	Specific	96.61	1.61	187	p__Euryarchaeota (UID3)	124	0	1867262	88.03579022605098	182	1317032	62.09409974229453	2121026	GB_GCA_001421185.1	t	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__DTU008 sp001421185	not type material	none	f	14	14	122746	122746	122746	1	2900	LJKK01000055.1	61545	2	116	LJKK01000004.1	2888	5334	0	100	LJKK01000055.4920.7807	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccales archaeon RumEn M1	11653	11653	t	f	f	50295	50295	Contig	ASM142118v1	na	PRJNA295008	SAMN04038609	182	50295	Austria	2015-11-02	GCA_001421185.1	derived from metagenome	full	RumEn M1	enrichment culture inoculated with rumen fluid from Bos taurus	none	0	0	Methanomassiliicoccales archaeon RumEn M1	1877	na	4	none	none	none	none	none	2015/11/02	0	1713724	1	RumEn M1	University of Vienna	1713724	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;x__unclassified Methanomassiliicoccales;s__Methanomassiliicoccales archaeon RumEn M1	0	2121026	11	44	na	2121026	0	LJKK00000000.1	2515	182	86715	1	none	none	none	none	none	none	1466	LJKK01000032.1	1466	2708	0	100	LJKK01000032.43518.44988	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccales archaeon RumEn M1	0	19	46	0	Thermoplasmatota	Thermoplasmata	DTU008 sp001421185
GB_GCA_038840635.1	0	94.41	1.51	General	100	3.74	149	k__Archaea (UID2)	107	0	1316651	83.01467927159742	20	746487	47.071609366309886	1586046	GB_GCA_038853715.1	f	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__JAWCJE01;g__JAWCJE01;s__JAWCJE01 sp038853715	not type material	none	f	4	3	299585	370055	183873	1	3110	JAWBVH010000003.1	183873	1	112	JAWBVH010000003.1	2184	1930	0	82.921	CP009961.1508878.1511819	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermofilaceae;Thermofilum;Thermofilum uzonense	79292	88113	t	f	f	157815	183873	Scaffold	ASM3884063v1	na	PRJNA544494	SAMN36039241	20	157815	none	2024-04-30	GCA_038840635.1	derived from metagenome	full	JZ-1_201803_bins_111	none	none	0	0	Candidatus Nezhaarchaeales archaeon	none	na	3	18	3	183873	128037	74735	2024/04/30	2	2952944	1	JZ-1_201803_bins_111	The University of Texas at Austin	2952944	d__Archaea;p__Candidatus Nezhaarchaeota;c__Candidatus Nezhaarchaeia;o__Candidatus Nezhaarchaeales;f__;g__;s__	d__Archaea;x__TACK group;p__Candidatus Nezhaarchaeota;c__Candidatus Nezhaarchaeia;o__Candidatus Nezhaarchaeales;x__unclassified Candidatus Nezhaarchaeales;s__Candidatus Nezhaarchaeales archaeon	192	1586046	11	42	na	1585854	0	JAWBVH000000000.1	1721	18	183873	1	none	none	none	none	none	none	1499	JAWBVH010000003.1	1348	1801	0	90.95	EU924230.1.1340	Archaea;Thermoproteota;Thermoproteia;Terrestrial Miscellaneous Gp(TMCG);Incertae Sedis;Incertae Sedis;uncultured archaeon	192	18	42	0	Thermoproteota	Methanomethylicia	JAWCJE01 sp038853715
RS_GCF_018420015.1	144	99.95	0.41	Specific	99.57	0	417	f__Halobacteriaceae (UID96)	263	0	3376851	85.70357184189848	120	2584679	65.60085664800681	3940152	RS_GCF_000025685.1	f	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax volcanii	not type material	none	f	8	8	372735	372735	5498	1	2902	NZ_JAERQW010000053.1	5498	1	115	NZ_JAERQW010000053.1	2902	5360	0	100	CP001956.2766866.2769780	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax volcanii DS2	32834	32834	t	f	f	191745	191745	Contig	ASM1842001v1	na	PRJNA224116	SAMN16974887	120	191745	Australia: Sydney	2021-05-20	GCA_018420015.1	none	full	na	none	none	0	0	Haloferax volcanii	none	na	3	none	none	none	none	none	2021/05/20	0	2246	1	ID77 - delta_ftsZ2	University of Technology Sydney	2246	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax volcanii	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax volcanii	0	3940152	11	52	na	3940152	0	JAERQW000000000.1	4033	120	5498	1	none	none	none	none	none	none	1473	NZ_JAERQW010000053.1	1473	2721	0	100	CP001956.2770163.2771635	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;Haloferax volcanii DS2	0	19	51	0	Halobacteriota	Halobacteria	Haloferax volcanii
GB_GCA_038874435.1	0	95.07	0.36	Specific	98.4	2.4	188	p__Euryarchaeota (UID3)	125	0	2036906	94.49877614494007	43	923697	42.85334523475934	2155484	GB_GCA_038874435.1	t	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__SKW197;g__SKW197;s__SKW197 sp038874435	not type material	none	f	8	8	219457	219457	94553	1	3002	JAVZCK010000008.1	137497	1	114	JAVZCK010000004.1	1982	1096	0	77.397	LDZU01010615.1333.4245	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Incertae Sedis;terrestrial metagenome	50127	50127	t	f	f	94553	94553	Contig	ASM3887443v1	na	PRJNA544494	SAMN36037081	43	94553	none	2024-04-30	GCA_038874435.1	derived from metagenome	full	DRTY-6_201705_bins_29	none	none	0	0	Thermoplasmata archaeon	none	na	3	none	none	none	none	none	2024/04/30	0	1906666	1	DRTY-6_201705_bins_29	The University of Texas at Austin	1906666	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__Thermoplasmata archaeon	0	2155484	11	46	na	2155484	0	JAVZCK000000000.1	1752	43	18491	1	none	none	none	none	none	none	1595	JAVZCK010000026.1	617	1005	0	96.11	AF255608.1.1362	Archaea;Thermoplasmatota;Thermoplasmata;Incertae Sedis;Incertae Sedis;Incertae Sedis;crenarchaeote SRI-298	0	19	45	0	Thermoplasmatota	Thermoplasmata	SKW197 sp038874435
GB_GCA_033578675.1	0	98.89	0.09	Specific	99.03	0	145	k__Archaea (UID2)	103	0	1310670	87.96259943585066	38	737172	49.47360155594078	1490031	GB_GCA_025054855.1	f	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus sp025054855	not type material	none	f	7	7	207209	207209	46590	1	3697	JAVQXC010000014.1	70228	1	110	JAVQXC010000005.1	3717	5384	0	92.978	AB201308.21176.24924	Archaea;Thermoproteota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;uncultured Candidatus Nitrosocaldus sp.	39211	39211	f	f	t	68255	68255	Contig	ASM3357867v1	na	PRJNA1012858	SAMN37334147	38	68255	none	2023-11-13	GCA_033578675.1	derived from metagenome	full	SKYGB_hs_bin116	none	none	0	0	Candidatus Nitrosocaldus sp.	none	na	3	none	none	none	none	none	2023/11/13	0	2697468	1	SKYGB_hs_bin116	Universiti Teknologi Malaysia	2697468	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Candidatus Nitrosocaldales;f__Candidatus Nitrosocaldaceae;g__Candidatus Nitrosocaldus;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Candidatus Nitrosocaldales;f__Candidatus Nitrosocaldaceae;g__Candidatus Nitrosocaldus;x__unclassified Candidatus Nitrosocaldus;s__Candidatus Nitrosocaldus sp.	0	1490031	11	42	na	1490031	0	JAVQXC000000000.1	1676	38	46590	1	none	none	none	none	none	none	1467	JAVQXC010000014.1	1467	2527	0	97.751	LT981265.1002313.1003780	Archaea;Thermoproteota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;Candidatus Nitrosocaldus cavascurensis	0	17	42	0	Thermoproteota	Nitrososphaeria	Nitrosocaldus sp025054855
GB_GCA_028693595.1	0	97.65	0.12	Specific	97.18	0.81	187	p__Euryarchaeota (UID3)	124	100	1043823	92.240906235005	32	639718	56.56080712485202	1131627	GB_GCA_002498365.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__VadinCA11;s__VadinCA11 sp002498365	not type material	none	f	7	5	231483	265024	265024	1	2894	JAQUVA010000001.1	57182	2	115	JAQUVA010000006.1	2900	4069	0	92.103	CP010070.159804.162705	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum	35344	43524	t	f	f	49448	60619	Scaffold	ASM2869359v1	na	PRJNA900590	SAMN32734478	32	49448	USA	2023-02-17	GCA_028693595.1	derived from metagenome	full	STD2_156	NEUS_D2 leachate from a leachate well at an active municipal landfill in the North Eastern United States	38.96 N 75.67 W	0	0	Candidatus Methanomethylophilaceae archaeon	none	na	4	26	5	60619	36250	17460	2023/02/17	6	2517205	1	STD2_156	University of Waterloo	2517205	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;x__unclassified Methanomethylophilaceae;s__Candidatus Methanomethylophilaceae archaeon	600	1131627	11	46	na	1131027	0	JAQUVA000000000.1	1191	26	265024	1	none	none	none	none	none	none	1469	JAQUVA010000001.1	1419	2540	0	99.013	GU179424.1.1416	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;uncultured euryarchaeote	600	19	46	0	Thermoplasmatota	Thermoplasmata	VadinCA11 sp002498365
RS_GCF_021162525.1	0	98.25	0.49	Specific	96.78	2.04	299	p__Euryarchaeota (UID4)	202	80	1530623	91.35200850839321	180	745961	44.52111043603128	1675522	GB_GCA_003663695.1	f	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__Palaeococcus sp003663695	not type material	none	f	47	47	37700	37700	3588	1	247	NZ_JAGGYN010000071.1	21473	2	115	NZ_JAGGYN010000014.1	242	268	1.64e-70	86.777	CP007264.1094794.1097814	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus nautili	9308	9308	f	f	t	11960	11960	Contig	ASM2116252v1	na	PRJNA224116	SAMN18353675	180	11960	Pacific Ocean: Mexico; Pescadero Basin	2021-12-10	GCA_021162525.1	derived from metagenome	full	AUK179	marine hydrothermal sediment	23.957043 N 108.862273 W	0	0	Palaeococcus sp. (in: euryarchaeotes)	none	na	4	none	none	none	none	none	2021/12/10	0	2820298	1	AUK179	California Institute of Technology	2820298	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;x__unclassified Palaeococcus (in: euryarchaeotes);s__Palaeococcus sp. (in: euryarchaeotes)	0	1675522	11	41	na	1675522	0	JAGGYN000000000.1	1972	180	6976	1	none	none	none	none	none	none	277	NZ_JAGGYN010000153.1	275	503	5.27e-141	99.636	AY559124.1.1477	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;Palaeococcus sp. Ax00-33	0	18	41	0	Methanobacteriota_B	Thermococci	Palaeococcus sp003663695
GB_GCA_036838385.1	0	91.56	0.25	Specific	91.2	0.8	188	p__Euryarchaeota (UID3)	125	0	1484066	76.77245171025793	64	739766	38.3304205089092	1933071	GB_GCA_002498385.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385	not type material	none	f	15	9	121261	245435	none	0	none	none	none	0	none	none	none	none	none	none	none	none	30155	58577	f	f	t	44416	74042	Scaffold	ASM3683838v1	na	PRJNA843551	SAMN28750909	64	44416	none	2024-02-23	GCA_036838385.1	derived from metagenome	full	CTOTU40539	none	none	0	none	Methanobacteriaceae archaeon	none	na	none	33	9	74042	57120	32452	2024/02/23	31	2099680	none	CTOTU40539	Helmholtz Centre for Environmental Research - UFZ	2099680	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;x__unclassified Methanobacteriaceae;s__Methanobacteriaceae archaeon	3100	1933071	none	none	na	1929971	0	DAITGJ000000000.1	1818	33	18091	1	none	none	none	none	none	none	328	DAITGJ010000027.1	326	586	6.13e-166	99.08	LC036199.1.1058	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;uncultured Methanobacterium sp.	3100	17	36	0	Methanobacteriota	Methanobacteria	Methanobacterium_C sp002498385
GB_GCA_937988845.1	0	99.57	1.75	Specific	100	0.81	187	p__Euryarchaeota (UID3)	124	0	1627358	88.59079620542447	114	1081169	58.857130725152395	1836938	GB_GCA_001512965.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__DTU008 sp001512965	not type material	none	f	15	15	125517	125517	9588	1	2903	CALKHZ010000104.1	13538	2	116	CALKHZ010000054.1	2890	4848	0	96.955	LJKK01000055.4920.7807	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccales archaeon RumEn M1	16113	16113	t	f	f	37084	37084	Contig	SRR5007349_bin.43_CONCOCT_v1.1_MAG	na	PRJEB51072	SAMEA14082047	114	37084	none	2023-01-10	GCA_937988845.1	derived from metagenome	full	SRR5007349_bin.43_CONCOCT_v1.1_MAG	metagenome	none	0	none	uncultured Methanomassiliicoccus sp.	none	na	none	none	none	none	none	none	2023/01/10	0	1233402	none	SRR5007349_bin.43_CONCOCT_v1.1_MAG	European Bioinformatics Institute	1233402	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;x__environmental samples;s__uncultured Methanomassiliicoccus sp.	0	1836938	none	none	na	1836938	0	CALKHZ000000000.1	2005	114	101904	1	none	none	none	none	none	none	1468	CALKHZ010000058.1	1436	2652	0	100	LFRW01000036.25222.26657	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomicrobia archaeon DTU008	0	19	46	0	Thermoplasmatota	Thermoplasmata	DTU008 sp001512965
GB_GCA_020023555.1	0	90.12	0.03	Specific	95.97	2.06	187	p__Euryarchaeota (UID3)	124	50	1368568	90.1030488013631	426	953856	62.79946171288018	1518892	GB_GCA_021372335.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__UBA472;g__UBA472;s__UBA472 sp021372335	not type material	none	f	82	82	29458	29458	6987	1	321	JAHRAC010000346.1	1611	1	116	JAHRAC010000083.1	319	377	3.49e-103	88.088	CP005934.1455043.1457967	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	3565	3565	f	f	t	5092	5092	Contig	ASM2002355v1	na	PRJNA655520	SAMN16056088	426	5092	USA: San Leandro; CA	2021-09-17	GCA_020023555.1	derived from metagenome	full	SL1-B35	wastewater sludge anaerobic digester phosphite (DPO) enrichment	37.715755 N 122.193870 W	0	none	Methanomassiliicoccales archaeon	none	na	none	none	none	none	none	none	2021/09/17	0	1906667	none	SL1-B35	University of California, Berkeley	1906667	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;x__unclassified Methanomassiliicoccales;s__Methanomassiliicoccales archaeon	0	1518892	none	none	na	1518892	0	JAHRAC000000000.1	1893	426	13717	1	none	none	none	none	none	none	1468	JAHRAC010000212.1	1434	2492	0	98.047	EU662670.1.1436	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Incertae Sedis;uncultured archaeon	0	19	42	0	Thermoplasmatota	Thermoplasmata	UBA472 sp021372335
RS_GCF_013407145.1	0	99.24	0.03	Specific	98.54	0	145	k__Archaea (UID2)	103	0	1429961	91.4673945025957	1	516115	33.013274007967475	1563356	RS_GCF_013407145.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus cobalaminigenes	type strain of species	LPSN	f	1	1	1563356	1563356	1563356	1	2970	NZ_CP026993.1	1563356	1	112	NZ_CP026993.1	2971	5214	0	98.351	CP003843.949777.952770	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus sediminis	1563356	1563356	t	f	f	1563356	1563356	Complete Genome	ASM1340714v1	na	PRJNA224116	SAMN08535023	none	none	USA	2020-07-13	GCA_013407145.1	none	full	na	deep coastal waters	none	1	0	Nitrosopumilus cobalaminigenes	none	representative genome	3	1	1	1563356	1563356	1563356	2020/07/13	0	1470066	1	HCA1	University of Washington	1470066	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus cobalaminigenes	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus cobalaminigenes	0	1563356	11	43	assembly from type material	1563356	0	na	1906	1	1563356	1	none	none	none	none	none	none	1470	NZ_CP026993.1	1466	2675	0	99.591	CP003843.952928.954393	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus sediminis	0	18	43	0	Thermoproteota	Nitrososphaeria	Nitrosopumilus cobalaminigenes
GB_GCA_012960685.1	0	92.7	1.17	General	84.76	1.6	188	p__Euryarchaeota (UID3)	125	0	1339915	94.86103746328327	58	784231	55.56952257590906	1412503	GB_GCA_004195715.1	f	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp004195715	not type material	none	f	9	9	129690	129690	129690	1	273	DUAU01000012.1	129690	1	112	DUAU01000012.1	273	492	1e-137	99.267	KF900309.27081.29964	Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;Incertae Sedis;Incertae Sedis;uncultured marine group II/III euryarchaeote AD1000_03_F11	24332	32848	f	f	t	49544	49544	Scaffold	ASM1296068v1	na	PRJNA522654	SAMN10967619	58	49544	USA: Guaymas Basin	2020-05-04	GCA_012960685.1	derived from metagenome	full	UWMA-0283	Guaymas Basin Hydrothermal plume metagenome	27.51583333 N 111.425 W	0	0	Candidatus Poseidoniales archaeon	none	na	2	43	9	49544	26877	19624	2020/05/04	15	2163009	1	UWMA-0283	University of Wisconsin-Madison	2163009	d__Archaea;p__Candidatus Thermoplasmatota;c__Candidatus Poseidoniia;o__Candidatus Poseidoniales;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Candidatus Poseidoniia;o__Candidatus Poseidoniales;x__unclassified Candidatus Poseidoniales;s__Candidatus Poseidoniales archaeon	1242	1412503	11	45	na	1411261	0	DUAU00000000.1	1271	43	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1242	19	47	0	Thermoplasmatota	Poseidoniia	Thalassarchaeum sp004195715
RS_GCF_000337215.1	114	99.78	3.39	Specific	98.92	0.46	417	f__Halobacteriaceae (UID96)	263	0	3832710	83.52616486736575	121	2949984	64.29053376687908	4588634	RS_GCF_000337215.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronolimnohabitans;s__Natronolimnohabitans innermongolicus	type strain of species	LPSN	t	19	19	269912	269912	91786	6	1543	NZ_AOHZ01000096.1	30440	2	105	NZ_AOHZ01000098.1	1311	2145	0	96.644	LKCV01000129.157.2977	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloterrigena;Haloterrigena turkmenica	37922	37922	f	f	t	93539	93539	Contig	ASM33721v1	na	PRJNA224116	SAMN02471623	121	93539	none	2013-02-04	GCA_000337215.1	none	full	na	none	none	0	0	Natronolimnohabitans innermongolicus JCM 12255	4384	representative genome	9	none	none	none	none	none	2013/02/04	0	253107	1	JCM 12255	University of California, Davis	1227499	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronolimnohabitans;s__Natronolimnohabitans innermongolicus	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronolimnohabitans;s__Natronolimnohabitans innermongolicus;x__Natronolimnohabitans innermongolicus JCM 12255	0	4588634	11	48	assembly from type material	4588634	0	AOHZ00000000.1	4467	121	1616	1	none	none	none	none	none	none	1464	NZ_AOHZ01000042.1	1452	2675	0	100	AOHZ01000042.149.1600	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Natronolimnohabitans;Natronolimnobius innermongolicus JCM 12255	0	19	48	0	Halobacteriota	Halobacteria	Natronolimnohabitans innermongolicus
GB_GCA_023451675.1	0	90.33	0.03	Specific	96.8	0	188	p__Euryarchaeota (UID3)	125	0	1356793	90.97939475055303	103	471164	31.593777052394557	1491319	RS_GCF_000016525.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii	not type material	none	f	20	20	67853	67853	none	0	none	none	none	0	none	none	none	none	none	none	none	none	14478	14478	f	f	t	24011	24011	Contig	ASM2345167v1	na	PRJNA682348	SAMN17045552	103	24011	Brazil: Dourados	2022-05-17	GCA_023451675.1	derived from metagenome	full	OH_HDB_174	feces	22.22111 S 54.80556 W	0	none	Euryarchaeota archaeon	none	na	none	none	none	none	none	none	2022/05/17	0	2026739	none	OH_HDB_174	LNCC	2026739	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;s__Euryarchaeota archaeon	0	1491319	none	none	na	1491319	0	JAEXYE000000000.1	1578	103	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	32	0	Methanobacteriota	Methanobacteria	Methanocatella smithii
