accession	ogt	genome_size	gc_content	frac_ilvwygerkp	ratio_charged_polar	trna_gc	phylum	class	species
GCA_000690595	41.5470650934144	3985229.49270035	65.1	0.561614642214921	1.579	61.8206022427697	Halobacteriota	Halobacteria	Natrinema mahii
GCA_000830275	51.4608099119257	1570433.9025933	43.06	0.593855197507695	1.366	56.2016641899542	Iainarchaeota	Iainarchaeia	GW2011-AR10 sp000830275
GCA_000830295	56.860934982676	1606925.74600972	42.48	0.59979964518169	1.466	56.0396538153172	Nanobdellota	Nanobdellia	GW2011-AR15 sp000830295
GCA_000830315	46.3153052882008	1606140.58869094	31.67	0.60449780513688	1.327	52.2095548684434	Nanobdellota	Nanobdellia	GW2011-AR20 sp000830315
GCA_000960885	91.2758541564348	1792416.27808393	57.92	0.631827349899552	1.79	69.8127607226797	Thermoproteota	Thermoprotei	Thermoproteus sp000960885
GCA_000961135	76.2833182323493	1933577.12628198	46.78	0.628664909872005	1.439	67.4014364303299	Thermoproteota	Thermoprotei_A	Aramenus sulfurataquae
GCA_000965745	40.1470952028509	2302675.2843847	46.42	0.584504147956465	1.172	61.2368108725272	Thermoplasmatota	Thermoplasmata	GCA-965745 sp000965745
GCA_001189275	93.0488852849016	2112843.96862412	58.31	0.63428173235325	1.739	69.4817227018438	Thermoproteota	Thermoprotei	Pyrobaculum sp001189275
GCA_001273385	44.3122999643657	1870571.63103815	32.42	0.599543750115448	1.223	60.2320424029406	Thermoproteota	Bathyarchaeia	AD8-1 sp001273385
GCA_001399795	66.3135009332065	1720875.99006975	44.19	0.620121424560396	1.615	62.4034969130066	Thermoproteota	Bathyarchaeia	BA2 sp001399795
GCA_001412355	47.8592259199309	2148014.41812564	56.58	0.582199788325328	1.371	60.8969653246773	Halobacteriota	Methanomicrobia	LKUD01 sp001412355
GCA_001421185	45.9451095379835	2237605.23261947	62.07	0.584346412006176	1.469	61.1083925991093	Thermoplasmatota	Thermoplasmata	DTU008 sp001421185
GCA_001443365	34.7906106941908	1475275.84708949	34.42	0.581378577955595	1.221	57.9401601473559	NA	NA	NA
GCA_001507955	69.1815297476237	1382924.86491997	40.64	0.624597109863604	1.647	62.9006259984565	Methanobacteriota	Methanobacteria	Methanothermobacter_A sp001507955
GCA_001508815	83.3222675221032	2145935.33978517	48.59	0.628787286136823	1.825	68.2180656987207	NA	NA	NA
GCA_001515205	71.096812781765	1350954.68012729	54.83	0.622297872340426	1.617	64.0307349778386	Hadarchaeota	Hadarchaeia	Hadarchaeum yellowstonense
GCA_001516585	67.144674426833	2088749.16536835	46.79	0.60650719011843	1.228	66.4375394171539	Thermoproteota	Thermoprotei	Thermocladium sp001516585
GCA_001543015	22.487450383428	2154893.66465189	31.64	0.568949694300154	1.141	55.9452274524112	Thermoproteota	Nitrososphaeria	Nitrosopumilus sp001543015
GCA_001552015	96.3044875300478	1057578.9841159	24.24	0.632311539525574	1.216	65.5264674695896	Nanobdellota	Nanobdellia	Nanobdella acidilobi
GCA_001560915	41.4536762598176	2130009.89228402	54	0.565534402741542	1.305	59.1143185081844	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp001560915
GCA_001563305	44.5304606915973	1728498.7525762	55.53	0.567582861928681	1.351	59.5416374960701	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp001563305
GCA_001563875	58.360986158026	1249922.5215707	42.56	0.598329337728499	1.598	60.9543239994311	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g19 sp001563875
GCA_001563915	55.2606393134663	1504312.06196975	39.37	0.584530240045138	1.501	60.8717164643396	Nanohalarchaeota	Nanosalinia	B1-Br10-U2g21 sp001563915
GCA_001577565	42.9533700984103	2748306.92761727	43.68	0.578303964757709	1.312	60.4396372473945	NA	NA	NA
GCA_001587575	55.2344387513167	1745161.32646202	34.49	0.610298786734512	1.386	61.6354370553634	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587575
GCA_001587715	52.0882581687973	2441787.68213542	35.36	0.603418347635398	1.366	61.2210975690645	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587715
GCA_001593865	81.8040217218781	2006953.74985511	51.05	0.645152074924672	1.813	67.6981343893928	Thermoproteota	Bathyarchaeia	B24 sp001593865
GCA_001593935	85.7813608691931	2177140.05989403	51.9	0.634745944921632	1.713	64.9282646400454	Thermoproteota	Bathyarchaeia	B26-1 sp001593935
GCA_001595785	61.3567261762862	2360636.05930177	36.73	0.601029439600813	1.423	53.0222131240735	Nanobdellota	Nanobdellia	SM23-78 sp001595785
GCA_001595945	48.7981490034718	2335013.39584729	39.01	0.579091836072076	1.083	59.4308743276959	Thermoplasmatota	E2	SM1-50 sp001595945
GCA_001714685	43.4754905937017	4368677.59340324	40.09	0.590547857113222	1.291	60.1003704579729	Halobacteriota	Methanosarcinia	Methanosarcina sp001714685
GCA_001717025	53.575128012931	1410298.58403448	55.37	0.588340901081277	1.369	63.7465065254565	Thermoproteota	Methanomethylicia	Methanomethylicus oleisabuli
GCA_001717035	51.4157667751337	1678343.41363403	57.62	0.585253284852492	1.334	63.7305385927404	Thermoproteota	Methanomethylicia	Methanomethylicus mesodigestus
GCA_001742785	49.4347878279205	1586896.74843126	47.88	0.588709760124706	1.401	60.7511411746829	NA	NA	NA
GCA_001761425	60.5701422028418	1777771.77368086	46.37	0.582729062726694	1.491	59.3637517230267	Nanohalarchaeota	Nanosalinia	Nanohalobium sp001761425
GCA_001766815	54.8463131117994	1724007.65728477	45.37	0.605457195356545	1.557	61.9416161362498	Halobacteriota	Syntropharchaeia	Syntropharchaeum caldarium
GCA_001856825	45.3713268584606	1800678.47237039	44.3	0.594502429476849	1.186	61.8130191616896	Thermoplasmatota	Thermoplasmata	GCA-001856825 sp001856825
GCA_001856845	38.8269553913859	2059575.06762849	37.91	0.586074328011687	1.15	59.5258387430368	NA	NA	NA
GCA_001871475	37.4511996755235	1380962.80349241	46.98	0.593880046831349	1.436	54.645928339112	Micrarchaeota	Micrarchaeia	CG1-02-47-40 sp001871475
GCA_001871495	39.9409430249946	1742185.14531755	50.58	0.56777745580991	1.226	55.6651957322017	Micrarchaeota	Micrarchaeia	UBA8480 sp001871495
GCA_001896515	38.5220214383452	1441922.05882353	45.83	0.573109620294421	1.108	58.1174949501455	Micrarchaeota	Micrarchaeia	Micrarchaeum_A acidiphilum_A
GCA_001914405	57.6660102807048	2212098.14049587	35.38	0.61661774753146	1.554	61.876286081128	Halobacteriota	Methanonatronarchaeia	Methanohalarchaeum thermophilum
GCA_001940665	63.4187686368722	1515244.65811966	37.99	0.620850141079345	1.347	57.9204128926485	Asgardarchaeota	Odinarchaeia	Odinarchaeum yellowstonii
GCA_002009975	82.7598546990246	2362347	38.12	0.644779899885236	1.725	69.6742904000617	Methanobacteriota_B	Thermococci	Thermococcus_C sp002009975
GCA_002010045	68.6076355230837	2081052.36605792	39.79	0.615407709958545	1.562	62.6056934656642	Halobacteriota	Archaeoglobi	JdFR-22 sp002010045
GCA_002010065	70.512314261642	2046282.34086242	51.2	0.627122008517563	1.748	64.6796733461008	Hydrothermarchaeota	Hydrothermarchaeia	Pyrohabitans jungbluthii
GCA_002010195	68.5733080671585	2066146.24921202	42.16	0.626878674151744	1.659	65.5472187818431	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002010195
GCA_002010215	76.2157468057688	2291623.0974788	44.8	0.625631673583475	1.741	67.539514295133	Halobacteriota	Archaeoglobi	JdFR-37 sp002010215
GCA_002010285	81.7819330234414	1780429.74702835	42.23	0.624442595798578	1.712	67.7487230184846	Halobacteriota	Archaeoglobi	JdFR-41 sp002010285
GCA_002011125	65.1919842888882	2240271.5442156	39.1	0.62606218232306	1.572	62.6914824528399	Hydrothermarchaeota	Hydrothermarchaeia	Hydrothermarchaeum profundi
GCA_002011155	78.7873448299671	1503081.34167607	41.14	0.643125122241781	1.862	65.0998137999414	Halobacteriota	Archaeoglobi	Mnemosynella biddleae
GCA_002011235	71.2976821199075	2391129.68591692	40.45	0.631221432946942	1.728	64.7443818444363	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002011235
GCA_002067065	48.3805712120095	2616798.73883342	38.05	0.586585330258895	1.238	61.9469689994269	Methanobacteriota	Methanobacteria	Methanobacterium sp002067065
GCA_002067095	44.9565159473759	2356185.56701031	57.78	0.588157819478088	1.338	61.3831140767792	Halobacteriota	Methanomicrobia	Methanolinea_A sp002067095
GCA_002067115	44.5120360171137	2241709.56824941	56.96	0.585491994093104	1.318	61.1919724455641	Halobacteriota	Methanomicrobia	Methanolinea_A sp11423u
GCA_002067315	51.2443906941288	3243770	59.81	0.582277212843761	1.372	60.9623848054701	Halobacteriota	Methanocellia	Methanocella_A sp002067315
GCA_002067365	43.8477914470936	2828443.51634919	53.32	0.583965888256049	1.383	61.6573822125334	Halobacteriota	Methanosarcinia	Methanothrix sp002067365
GCA_002067495	54.7167102280939	2425757.70322852	60.31	0.604832416765755	1.621	61.9594323752975	NA	NA	NA
GCA_002067705	38.4676269463046	3464803.42741935	50.83	0.574394445867684	1.29	61.193774912426	Halobacteriota	Methanosarcinia	Methanothrix sp002067705
GCA_002067755	43.1853310722033	2302063.50848159	51.87	0.582666635925576	1.366	61.4156620485062	Halobacteriota	Methanosarcinia	Methanothrix sp002067755
GCA_002067865	48.7255701485446	2333164.54363617	56.99	0.578979096379879	1.352	60.0270830336901	Thermoplasmatota	Thermoplasmata	MVRC01 sp002067865
GCA_002067895	44.7843116003164	2352204.02766477	54.47	0.580280885559526	1.301	61.102615381185	Halobacteriota	Methanomicrobia	MVRE01 sp002067895
GCA_002171445	28.4255359087909	2256911.80536356	35.6	0.562948481416411	1.074	58.9159234578988	Thermoplasmatota	Poseidoniia	MGIIb-O3 sp002457145
GCA_002317795	23.0075814714513	2215848.92504358	31.25	0.564367230431233	1.158	56.0827675642145	Thermoproteota	Nitrososphaeria	Nitrosopumilus sp002317795
GCA_002490245	80.4618497736161	1555982.90598291	47.34	0.640303882977765	1.759	65.6088911058186	Thermoproteota	Bathyarchaeia	B24-2 sp002490245
GCA_002494625	71.1095362261843	2116863.42006682	41.03	0.627820338424456	1.715	65.9421431435358	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002494625
GCA_002494765	54.0997491930255	1848143.44543583	48.03	0.618134176566829	1.647	64.3761492177937	Thermoplasmatota	UBA186	UBA186 sp002494765
GCA_002494805	45.4852882821064	1882887.16308817	57.45	0.571792409842468	1.474	60.6978887965561	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp002506425
GCA_002494885	48.6849645377163	2310906.31053114	33.05	0.597708915377164	1.355	61.4934027330869	Methanobacteriota	Methanobacteria	Methanobacterium_D sp002494885
GCA_002495055	37.3827058308011	3027125.23405661	47.93	0.575491070502582	1.205	58.4992672000526	Halobacteriota	Methanomicrobia	Methanoregula sp002495055
GCA_002495625	49.0733535591171	2505566.00879436	40.48	0.595185035308601	1.294	61.5021762113726	Methanobacteriota	Methanobacteria	Methanobacterium_A sp002495625
GCA_002495885	51.5823738687661	1699904.09404971	42.57	0.597470619974469	1.426	57.9224819621674	Halobacteriota	UBA148	UBA148 sp002495885
GCA_002496015	55.1956519301096	2356717.30175077	40.77	0.591733521983232	1.311	58.5534427278595	Nanobdellota	Nanobdellia	UBA73 sp002496015
GCA_002496045	97.6432730072219	1443482.91958413	38.94	0.65048124915273	1.44	71.1122329869851	Thermoproteota	Thermoprotei_A	UBA285 sp002495025
GCA_002496395	45.8339644183423	2165130.48016701	51.67	0.586860999240855	1.364	59.8881823428932	Halobacteriota	Methanomicrobia	Methanocalculus sp002496395
GCA_002497075	47.8224224433674	1997139.43093862	57.91	0.583590528941052	1.408	60.6797327685734	Thermoplasmatota	Thermoplasmata	UBA472 sp002497075
GCA_002498125	55.928758375921	2243032.20478943	56.11	0.570814866843417	1.27	60.4833353062282	Nanobdellota	Nanobdellia	UBA525 sp002498125
GCA_002498375	41.796262780791	1630105.41697109	50.9	0.579634623485016	1.287	58.8856963618631	Halobacteriota	Methanomicrobia	Methanocorpusculum sp002498375
GCA_002499185	52.0458210958234	2349385.17618469	30.16	0.597808456587591	1.345	54.6794036542702	Nanobdellota	Nanobdellia	UBA284 sp002499185
GCA_002499685	37.4559785325007	1751494.18055992	42.83	0.582363914133823	1.136	57.0131301400949	Thermoplasmatota	Thermoplasmata	UBA447 sp002503205
GCA_002499905	51.7942753173483	2013252.31719876	57.4	0.589723143212882	1.313	61.0308921461394	Halobacteriota	Methanomicrobia	UBA9949 sp002499905
GCA_002501695	42.499027922543	2415463.39930883	47.17	0.579351112104339	1.291	60.5510084252992	Halobacteriota	Methanosarcinia	Methanolobus sp002501695
GCA_002501765	50.8009422054306	2039088.96155147	54.42	0.602134346729765	1.581	62.0025261932717	Halobacteriota	Methanosarcinia	UBA204 sp002501765
GCA_002502855	51.385396316887	2203998.33576035	40.23	0.597601913506211	1.333	61.2477331825983	Methanobacteriota	Methanobacteria	Methanobacterium_A sp002502855
GCA_002503085	49.9209565536638	2530542.7216786	55.49	0.595411204918746	1.493	61.5140470796333	Halobacteriota	Methanosarcinia	Methanocrinis harundinacea_A
GCA_002503305	51.9880645088442	1438985.76199684	33.49	0.586832022090962	1.138	58.3528034820018	Nanobdellota	Nanobdellia	Parvarchaeum acidiphilum
GCA_002503825	41.542458941186	2923474.76828012	50.89	0.578085690870675	1.172	60.1995089667249	Halobacteriota	Methanomicrobia	UBA467 sp002503825
GCA_002503985	47.9241135134408	1866088.09101346	67.14	0.593153182899467	1.268	64.3929618520077	Thermoplasmatota	Thermoplasmata	UBA184 sp002503985
GCA_002504405	50.3266839306816	1734886.38799571	59.37	0.570249175031355	1.4	60.0997584241708	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp002504405
GCA_002504415	28.9353763122299	1720848.88174966	40.15	0.562506239364061	1.143	60.1223631573006	Thermoplasmatota	Poseidoniia	MGIIb-O1 sp002498725
GCA_002505345	51.4792130724812	1454447.33702137	55.21	0.574824100817072	1.428	60.2916869861515	Thermoplasmatota	Thermoplasmata	VadinCA11 sp002505345
GCA_002505765	53.1244598825252	2364601.70549085	33.82	0.599320732427643	1.358	61.458030940363	Methanobacteriota	Methanobacteria	Methanobacterium_D sp002505765
GCA_002506085	40.6361211943406	1909608.77359485	47.79	0.578552670815818	1.227	58.3788787883684	Halobacteriota	Methanomicrobia	Methanocorpusculum sp002506085
GCA_002506335	40.4613833988065	2466496.93251534	51.04	0.582590573016131	1.313	60.7523482132378	Halobacteriota	Methanosarcinia	UBA114 sp002506335
GCA_002506535	47.7000801567121	2415322.74695814	58.83	0.602772992382573	1.601	61.7611197661405	Halobacteriota	Methanosarcinia	Methanocrinis harundinacea_B
GCA_002506595	65.1947922041467	1579846.96626792	29.46	0.617715645308301	1.255	67.9487825812782	Thermoproteota	Thermoprotei_A	Caldisphaera sp002506595
GCA_002506785	44.0140999316333	2583446.91049286	55.73	0.576560482167756	1.25	60.4918884577966	Halobacteriota	Methanomicrobia	Methanoregula sp002502245
GCA_002507205	41.7808469068644	2450323.3280674	42.27	0.575984131149291	1.303	59.6708575107957	Halobacteriota	Methanosarcinia	Methanolobus sp002507205
GCA_002507245	70.7728670531631	1764921.85755749	40.73	0.615127027421301	1.429	64.7526030220347	Thermoproteota	Bathyarchaeia	UBA233 sp002507245
GCA_002508425	40.3090922518473	2637989.94437313	41.04	0.575952362753341	1.209	60.3090882864688	Halobacteriota	Methanosarcinia	Methanomethylovorans sp002508425
GCA_002508545	49.2528169582339	2497406.62363771	62.67	0.585579198636475	1.431	60.7239986036702	Thermoplasmatota	Thermoplasmata	UBA6 sp002508545
GCA_002509225	31.2218657016745	1177099.9275887	36.73	0.575033776752423	1.203	62.5488809472714	Thermoplasmatota	Poseidoniia	UBA102 sp002509225
GCA_002509405	51.5432578893366	1317361.55988858	54.86	0.57697551137676	1.446	60.4366382864497	Thermoplasmatota	Thermoplasmata	VadinCA11 sp002509405
GCA_002685855	48.611408591454	1675392.86342064	42.29	0.588564741285631	1.309	53.7748042438905	Nanobdellota	Nanobdellia	GCA-2685855 sp002685855
GCA_002687075	22.4419705255008	2782399.84835082	46.19	0.543218518135283	1.046	58.6326272838188	Thermoplasmatota	Poseidoniia	MGIIa-L1 sp002687075
GCA_002688315	48.2896305971234	1235075.79859231	36.77	0.587842616514874	1.324	55.9723054530861	NA	NA	NA
GCA_002688355	49.2528162299122	1814765.13865308	27.63	0.603311260575325	1.363	51.7117342515662	Nanobdellota	Nanobdellia	GCA-2688355 sp002688355
GCA_002708015	24.2603700239026	2779940.49642979	39.52	0.551115657187175	1.059	59.0047022312941	Thermoplasmatota	Poseidoniia	MGIIb-N2 sp002708015
GCA_002712495	28.5242148711994	3221670.991178	61.47	0.549806660617036	1.265	60.8909300724847	Thermoplasmatota	Poseidoniia	MGIIa-L3 sp002496845
GCA_002718195	23.1273307362346	2854861.97183099	41.95	0.550456526115502	1.063	59.5137929699214	Thermoplasmatota	Poseidoniia	MGIIa-L4 sp002718195
GCA_002718575	29.2299155430964	1730007.98084597	48.54	0.552193956952832	1.149	60.2533187403081	Thermoplasmatota	Poseidoniia	Thalassarchaeum sp002503055
GCA_002722135	23.0333133665904	2413519.95012469	62.45	0.552982037459249	1.276	60.7029706248164	NA	NA	NA
GCA_002762785	56.128025004672	1558488.49510711	44.81	0.584977263608399	1.337	55.3226674854875	Nanobdellota	Nanobdellia	PCXY01 sp002762785
GCA_002762795	51.8531559671483	2217484.82362592	36.8	0.579325473825	1.23	55.6384396136002	Nanobdellota	Nanobdellia	1-14-0-10-37-12 sp002762795
GCA_002762865	57.146851705983	1507899.71346705	33.19	0.60398483530551	1.431	56.314220301137	Nanobdellota	Nanobdellia	CG1-02-33-12 sp002762865
GCA_002762985	52.63338764046	2119653.04980414	44.39	0.588815974353268	1.465	56.4609056471709	Nanobdellota	Nanobdellia	1-14-0-10-44-13 sp002762985
GCA_002763265	42.9858588862877	1548485.4548253	42.84	0.564514517182108	1.144	60.2657173243592	Nanobdellota	Nanobdellia	PEZQ01 sp002763265
GCA_002763335	50.9122485565707	1836519.24528302	46.54	0.593097827322291	1.417	59.3440979959187	Nanobdellota	Nanobdellia	CG1-02-47-18 sp002763335
GCA_002779235	53.1491190970658	1585027.47252747	44.22	0.588257524224147	1.372	58.461017860364	NA	NA	NA
GCA_002779595	47.1021457819143	1602949.32699921	37.4	0.588462490277876	1.252	56.934914342773	Nanobdellota	Nanobdellia	CG07-land sp002779595
GCA_002788615	54.3168944186049	2006300.9079118	38.87	0.602711243815792	1.43	58.0781819567075	Nanobdellota	Nanobdellia	CG1-02-39-14 sp001872315
GCA_002792115	48.1011269666176	2200286.23428193	33.2	0.586891218527051	1.222	52.2951953688449	Nanobdellota	Nanobdellia	GCA-002792115 sp002792115
GCA_002813105	54.7307319453248	1130758.47457627	45.16	0.603817050195547	1.579	55.3528383175981	Halobacteriota	UBA148	JAJOKI01 sp002813105
GCA_002839545	35.8205284036366	2069560.21159631	43.08	0.586414749740733	1.314	60.777269831298	Halobacteriota	Methanosarcinia	Methanoperedens_A sp002839545
GCA_002839605	43.4709136978855	2708065.62859233	55.31	0.574253887338	1.266	60.1490202953004	Halobacteriota	Methanomicrobia	Methanoregula sp002839605
GCA_002839645	44.6814955657297	2834056.22899053	60.8	0.586662455455113	1.401	61.4480149382019	Halobacteriota	Methanomicrobia	Methanoculleus sp002839645
GCA_002839675	43.3681829461033	2632227.19522592	51.44	0.573212370208858	1.198	59.8979315962902	Halobacteriota	Methanomicrobia	Methanoregula sp002839675
GCA_002839705	45.8845386407639	2615486.79783872	32.96	0.584474741721531	1.211	60.4099961173825	Methanobacteriota	Methanobacteria	UBA349 sp002839705
GCA_002844335	39.5851186138182	3841562.7580512	62.5	0.550066285562986	1.346	62.6022530538697	NA	NA	NA
GCA_002867475	47.9251300121585	2596393.8499767	31	0.580112242622463	1.289	52.1177258917515	Nanobdellota	Nanobdellia	BM511 sp002867475
GCA_002878135	68.3785656121304	1404562.08881579	40.99	0.621354446996247	1.486	63.4721204804009	NA	NA	NA
GCA_002897955	63.5272923202692	1853270.78891258	40.06	0.62096232270126	1.589	63.3211484935328	NA	NA	NA
GCA_002898355	66.222608955558	1988915.86674195	52.58	0.621461185502857	1.451	65.6337530018868	Thermoproteota	Nitrososphaeria_A	HRBIN01 sp002898355
GCA_002898395	69.99600896319	1805152.0516559	51.44	0.630668599484143	1.5	68.2340735584613	Thermoproteota	Nitrososphaeria_A	HRBIN02 sp002898395
GCA_002923215	44.2275970139148	1856558.33048238	46.72	0.600525515203495	1.431	60.4741404266718	NA	NA	NA
GCA_003009755	47.5689993817611	3011394.20506789	69.25	0.564453132346875	1.499	64.6198632351084	Thermoplasmatota	SW-10-69-26	SW-10-69-26 sp003009755
GCA_003009795	57.8148461277411	1756426.73521851	42.61	0.585850845835659	1.471	57.3961654986555	Nanohalarchaeota	Nanosalinia	SW-4-43-9 sp003009795
GCA_003019535	53.8724582284566	2691505.8525783	49.76	0.60494181994289	1.17	65.9526930109444	Thermoproteota	Thermoprotei_A	ECH-B-1 sp003019535
GCA_003020945	35.5240015285347	2799883.65943945	70.86	0.564395301940266	1.778	63.2467298072051	Halobacteriota	Halobacteria	Halobaculum sp003020945
GCA_003021175	40.3016031006917	2752655.82083245	66.66	0.558135641278371	1.604	62.1922785876734	Halobacteriota	Halobacteria	Halosegnis sp003021175
GCA_003021235	37.1902538374332	3937714.66025781	64.53	0.566637002740283	1.51	62.5195128632911	Halobacteriota	Halobacteria	Halococcus sp003021235
GCA_003021785	33.0811118808775	2426119.08100529	65.09	0.556166580483674	1.459	60.7564617763503	Halobacteriota	Halobacteria	Halosegnis sp003021785
GCA_003034855	57.9672334354939	1498423.3807267	35.51	0.615670988743931	1.538	62.0153375449044	Halobacteriota	Methanonatronarchaeia	PZKD01 sp003034855
GCA_003056265	81.1055703725554	1901950.14200063	41.93	0.637912840906688	1.435	70.2052677593729	Thermoproteota	Thermoprotei_A	Zestosphaera tikiterensis
GCA_003056285	68.0261153080335	1736621.45360009	51.28	0.628938275111237	1.651	67.0233213656297	Thermoproteota	Nitrososphaeria_A	Terraquivivens tikiterensis
GCA_003104905	41.2628386263682	3028919.7338324	40.79	0.585012560368668	1.227	59.6050252096718	Halobacteriota	Methanosarcinia	Methanoperedens sp003104905
GCA_003116855	83.3868602045853	2078474.5057232	45.6	0.640639216764364	1.524	70.6053892222952	Thermoproteota	Thermoprotei_A	AG1 sp003116855
GCA_003133625	48.7838183855787	3001262.97169811	42.76	0.584069652676599	1.187	61.0277073888451	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp003133625
GCA_003135935	45.2608180150994	2235978.904316	53.61	0.581888953302651	1.317	60.3261600317171	Thermoplasmatota	Thermoplasmata	FEN-33 sp003135935
GCA_003138595	39.8071229768947	1526492.10219442	51.68	0.573993315462391	1.271	59.5407608021194	Halobacteriota	Bog-38	Bog-38 sp003139855
GCA_003141335	43.8496397671698	2192435.60482556	49.82	0.577927960313466	1.247	59.7198369138248	Halobacteriota	Methanomicrobia	Methanoregula sp003141335
GCA_003141855	50.6748923877287	2811052.01361982	44.31	0.578826729171661	1.13	61.849769359912	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp003141855
GCA_003144275	30.9111691216517	4634107.98122066	36.14	0.577501107202874	1.058	53.4165268137746	Asgardarchaeota	Heimdallarchaeia	Hodarchaeum sp003144275
GCA_003151535	40.6935750137139	3316433.96226415	32.48	0.582265424241696	1.17	57.4644546779742	Methanobacteriota	Methanobacteria	Methanobacterium_B sp003151535
GCA_003158115	49.1042634278322	2367673.7222509	32.05	0.590010460785683	1.24	61.0859982425891	Methanobacteriota	Methanobacteria	Methanobacterium_B sp003158115
GCA_003162615	41.0213342937733	2966862.9164391	49.4	0.581931591166407	1.308	61.7390647309739	Halobacteriota	Methanosarcinia	Fen-7 sp003162615
GCA_003164755	43.874613813339	3691454.87441464	35.73	0.588601818258866	1.25	59.2109933067838	Halobacteriota	Methanosarcinia	Methanosarcina sp003164755
GCA_003166335	47.4602231885457	2536976.24630441	32.39	0.593482821313692	1.236	60.8076389110048	Methanobacteriota	Methanobacteria	Methanobacterium_A sp003166335
GCA_003193925	31.6294990310187	1712432.87037037	60.83	0.563255222508964	1.274	60.4973260156545	NA	NA	NA
GCA_003194425	55.9478432192012	1512267.86293374	52.09	0.626511746524942	1.712	60.6534359489772	Halobacteriota	Syntropharchaeia	ANME1a sp003194425
GCA_003194435	62.9413608913702	1996960.0796196	45.64	0.60961156176102	1.557	61.8662468839517	Halobacteriota	Syntropharchaeia	G60ANME1 sp003194435
